"Data","Produto","Quantidade","Custo","Valor","Cliente","Endereco","Pagamento","Modalidade","Total","Liquido"
2021-12-31,"Produto 10",1,22,36,"Cliente 5","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",36,14
2022-01-01,"Produto 10",3,23,7,"Cliente 9","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Local",21,-48
2021-01-02,"Produto 10",3,9,11,"Cliente 7","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Retirada",33,6
2021-01-03,"Produto 3",1,23,37,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Debito","Retirada",37,14
2021-01-04,"Produto 4",4,28,29,"Cliente 6","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Retirada",116,4
2021-01-05,"Produto 2",2,5,7,"Cliente 2","Janga, Paulista - PE
, Brazil","Credito","Local",14,4
2021-01-06,"Produto 6",2,25,39,"Cliente 2","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",78,28
2021-01-07,"Produto 9",4,9,37,"Cliente 5","Janga, Paulista - PE
, Brazil","Credito","Local",148,112
2021-01-08,"Produto 2",3,8,37,"Cliente 6","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Delivery",111,87
2021-01-09,"Produto 10",4,5,32,"Cliente 2","Nossa Senhora do Ó, Paulista - PE
, Brazil","Dinheiro","Retirada",128,108
2021-01-10,"Produto 6",1,5,32,"Cliente 3","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",32,27
2021-01-11,"Produto 1",4,23,36,"Cliente 6","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Local",144,52
2021-01-12,"Produto 4",2,22,39,"Cliente 3","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Local",78,34
2021-01-13,"Produto 6",1,14,37,"Cliente 1","Janga, Paulista - PE
, Brazil","Credito","Retirada",37,23
2021-01-14,"Produto 2",1,25,30,"Cliente 9","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Retirada",30,5
2021-01-15,"Produto 5",2,28,7,"Cliente 3","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",14,-42
2021-01-16,"Produto 8",5,28,11,"Cliente 3","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Local",55,-85
2021-01-17,"Produto 1",1,22,7,"Cliente 8","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Delivery",7,-15
2021-01-18,"Produto 7",4,7,36,"Cliente 8","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Delivery",144,116
2021-01-19,"Produto 10",1,5,14,"Cliente 10","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Retirada",14,9
2021-01-20,"Produto 10",3,14,29,"Cliente 4","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Delivery",87,45
2021-01-21,"Produto 4",1,14,39,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Credito","Retirada",39,25
2021-01-22,"Produto 2",5,9,29,"Cliente 3","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",145,100
2021-01-23,"Produto 3",4,25,7,"Cliente 2","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Retirada",28,-72
2021-01-24,"Produto 8",1,9,14,"Cliente 9","Pau Amarelo, Paulista - PE
, Brazil","Debito","Retirada",14,5
2021-01-25,"Produto 7",3,22,29,"Cliente 2","Nossa Senhora do Ó, Paulista - PE
, Brazil","Credito","Local",87,21
2021-01-26,"Produto 3",3,28,11,"Cliente 8","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Delivery",33,-51
2021-01-27,"Produto 6",4,22,39,"Cliente 1","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Retirada",156,68
2021-01-28,"Produto 4",1,8,11,"Cliente 5","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Delivery",11,3
2021-01-29,"Produto 7",1,25,32,"Cliente 7","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",32,7
2021-01-30,"Produto 2",4,15,36,"Cliente 8","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Credito","Local",144,84
2021-01-31,"Produto 4",1,28,39,"Cliente 2","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Local",39,11
2021-02-01,"Produto 8",2,25,1,"Cliente 5","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Retirada",2,-48
2021-02-02,"Produto 1",3,5,11,"Cliente 6","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Local",33,18
2021-02-03,"Produto 2",1,15,1,"Cliente 1","Janga, Paulista - PE
, Brazil","Credito","Retirada",1,-14
2021-02-04,"Produto 2",3,15,11,"Cliente 1","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",33,-12
2021-02-05,"Produto 5",5,5,29,"Cliente 1","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Local",145,120
2021-02-06,"Produto 9",2,7,30,"Cliente 9","Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",60,46
2021-02-07,"Produto 1",3,9,7,"Cliente 9","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Delivery",21,-6
2021-02-08,"Produto 8",1,5,36,"Cliente 5","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Delivery",36,31
2021-02-09,"Produto 6",1,22,14,"Cliente 3","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",14,-8
2021-02-10,"Produto 4",3,15,36,"Cliente 10","Janga, Paulista - PE
, Brazil","Debito","Retirada",108,63
2021-02-11,"Produto 6",1,9,37,"Cliente 1","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",37,28
2021-02-12,"Produto 7",4,23,1,"Cliente 4","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Local",4,-88
2021-02-13,"Produto 4",2,28,1,"Cliente 7","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Delivery",2,-54
2021-02-14,"Produto 1",3,14,37,"Cliente 8","Nossa Senhora do Ó, Paulista - PE
, Brazil","Credito","Local",111,69
2021-02-15,"Produto 5",1,23,32,"Cliente 3","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Local",32,9
2021-02-16,"Produto 5",4,23,14,"Cliente 7","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Local",56,-36
2021-02-17,"Produto 6",1,23,36,"Cliente 5","Janga, Paulista - PE
, Brazil","Credito","Delivery",36,13
2021-02-18,"Produto 3",3,9,32,"Cliente 6","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",96,69
2021-02-19,"Produto 6",2,23,37,"Cliente 1","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",74,28
2021-02-20,"Produto 6",3,25,14,"Cliente 9","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",42,-33
2021-02-21,"Produto 3",3,14,7,"Cliente 2","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",21,-21
2021-02-22,"Produto 5",3,28,1,"Cliente 1","Janga, Paulista - PE
, Brazil","Credito","Delivery",3,-81
2021-02-23,"Produto 5",3,9,36,"Cliente 5","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Retirada",108,81
2021-02-24,"Produto 8",3,22,29,"Cliente 1","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",87,21
2021-02-25,"Produto 1",3,7,7,"Cliente 9","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",21,0
2021-02-26,"Produto 7",3,22,29,"Cliente 1","Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",87,21
2021-02-27,"Produto 7",1,23,39,"Cliente 2","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Delivery",39,16
2021-02-28,"Produto 5",2,7,11,"Cliente 5","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Delivery",22,8
2021-03-01,"Produto 8",5,9,11,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Delivery",55,10
2021-03-02,"Produto 6",3,9,37,"Cliente 10","Nossa Senhora do Ó, Paulista - PE
, Brazil","Dinheiro","Local",111,84
2021-03-03,"Produto 3",3,5,32,"Cliente 10","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",96,81
2021-03-04,"Produto 5",3,9,11,"Cliente 10","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Local",33,6
2021-03-05,"Produto 10",5,28,29,"Cliente 5","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Retirada",145,5
2021-03-06,"Produto 2",1,22,30,"Cliente 8","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",30,8
2021-03-07,"Produto 4",1,28,1,"Cliente 4","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Delivery",1,-27
2021-03-08,"Produto 4",3,28,32,"Cliente 10","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Local",96,12
2021-03-09,"Produto 7",1,25,14,"Cliente 1","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",14,-11
2021-03-10,"Produto 9",4,28,29,"Cliente 7","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Local",116,4
2021-03-11,"Produto 4",1,9,32,"Cliente 7","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Local",32,23
2021-03-12,"Produto 7",1,15,11,"Cliente 1","Nossa Senhora do Ó, Paulista - PE
, Brazil","Dinheiro","Local",11,-4
2021-03-13,"Produto 3",3,7,14,"Cliente 7","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",42,21
2021-03-14,"Produto 3",4,22,14,"Cliente 2","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",56,-32
2021-03-15,"Produto 1",3,28,30,"Cliente 1","Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",90,6
2021-03-16,"Produto 5",3,7,14,"Cliente 9","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Delivery",42,21
2021-03-17,"Produto 3",1,7,1,"Cliente 3","Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",1,-6
2021-03-18,"Produto 6",5,5,7,"Cliente 3","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",35,10
2021-03-19,"Produto 10",5,28,14,"Cliente 5","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Local",70,-70
2021-03-20,"Produto 10",1,5,1,"Cliente 6","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Retirada",1,-4
2021-03-21,"Produto 9",3,23,39,"Cliente 1","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Local",117,48
2021-03-22,"Produto 4",3,9,37,"Cliente 6","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Delivery",111,84
2021-03-23,"Produto 3",1,14,37,"Cliente 5","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Delivery",37,23
2021-03-24,"Produto 6",1,7,14,"Cliente 2","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Retirada",14,7
2021-03-25,"Produto 9",2,15,30,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Credito","Retirada",60,30
2021-03-26,"Produto 3",2,15,36,"Cliente 5","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",72,42
2021-03-27,"Produto 8",5,14,11,"Cliente 6","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Delivery",55,-15
2021-03-28,"Produto 5",1,14,14,"Cliente 8","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Retirada",14,0
2021-03-29,"Produto 6",1,28,11,"Cliente 2","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Delivery",11,-17
2021-03-30,"Produto 5",2,25,11,"Cliente 3","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Local",22,-28
2021-03-31,"Produto 3",1,22,39,"Cliente 1","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",39,17
2021-04-01,"Produto 2",3,22,36,"Cliente 2","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",108,42
2021-04-02,"Produto 6",3,15,37,"Cliente 7","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Retirada",111,66
2021-04-03,"Produto 5",5,14,29,"Cliente 8","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",145,75
2021-04-04,"Produto 1",2,5,39,"Cliente 8","Pau Amarelo, Paulista - PE
, Brazil","Credito","Delivery",78,68
2021-04-05,"Produto 3",1,5,37,"Cliente 6","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Retirada",37,32
2021-04-06,"Produto 1",3,9,11,"Cliente 6","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Delivery",33,6
2021-04-07,"Produto 9",1,23,36,"Cliente 10","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Local",36,13
2021-04-08,"Produto 4",3,14,36,"Cliente 2","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Local",108,66
2021-04-09,"Produto 7",3,25,36,"Cliente 5","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Local",108,33
2021-04-10,"Produto 2",1,22,37,"Cliente 5","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Local",37,15
2021-04-11,"Produto 5",2,7,36,"Cliente 1","Janga, Paulista - PE
, Brazil","Debito","Local",72,58
2021-04-12,"Produto 9",1,28,36,"Cliente 2","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Retirada",36,8
2021-04-13,"Produto 6",3,25,30,"Cliente 5","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",90,15
2021-04-14,"Produto 10",4,28,37,"Cliente 3","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",148,36
2021-04-15,"Produto 6",2,23,1,"Cliente 10","Janga, Paulista - PE
, Brazil","Debito","Delivery",2,-44
2021-04-16,"Produto 6",3,8,30,"Cliente 3","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",90,66
2021-04-17,"Produto 6",2,28,7,"Cliente 7","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",14,-42
2021-04-18,"Produto 5",5,5,32,"Cliente 9","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Delivery",160,135
2021-04-19,"Produto 9",3,14,11,"Cliente 6","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Retirada",33,-9
2021-04-20,"Produto 9",2,8,1,"Cliente 6","Janga, Paulista - PE
, Brazil","Debito","Delivery",2,-14
2021-04-21,"Produto 7",3,14,11,"Cliente 8","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",33,-9
2021-04-22,"Produto 3",1,22,14,"Cliente 10","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Delivery",14,-8
2021-04-23,"Produto 5",1,8,32,"Cliente 1","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Local",32,24
2021-04-24,"Produto 7",1,14,36,"Cliente 5","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",36,22
2021-04-25,"Produto 2",1,5,32,"Cliente 4","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Retirada",32,27
2021-04-26,"Produto 10",5,22,1,"Cliente 3","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",5,-105
2021-04-27,"Produto 2",5,25,36,"Cliente 5","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",180,55
2021-04-28,"Produto 5",3,14,14,"Cliente 4","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",42,0
2021-04-29,"Produto 3",4,7,14,"Cliente 8","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Delivery",56,28
2021-04-30,"Produto 1",2,22,36,"Cliente 1","Janga, Paulista - PE
, Brazil","Debito","Delivery",72,28
2021-05-01,"Produto 4",5,14,32,"Cliente 9","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Local",160,90
2021-05-02,"Produto 10",1,22,36,"Cliente 4","Nossa Senhora do Ó, Paulista - PE
, Brazil","Dinheiro","Local",36,14
2021-05-03,"Produto 7",1,28,1,"Cliente 9","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",1,-27
2021-05-04,"Produto 5",2,15,32,"Cliente 6","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Delivery",64,34
2021-05-05,"Produto 9",2,8,39,"Cliente 6","Pau Amarelo, Paulista - PE
, Brazil","Debito","Local",78,62
2021-05-06,"Produto 5",3,25,7,"Cliente 4","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Retirada",21,-54
2021-05-07,"Produto 7",4,23,14,"Cliente 9","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Debito","Delivery",56,-36
2021-05-08,"Produto 4",1,9,30,"Cliente 9","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Retirada",30,21
2021-05-09,"Produto 10",3,8,11,"Cliente 8","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",33,9
2021-05-10,"Produto 1",1,8,7,"Cliente 6","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Delivery",7,-1
2021-05-11,"Produto 5",3,15,36,"Cliente 2","Pau Amarelo, Paulista - PE
, Brazil","Dinheiro","Delivery",108,63
2021-05-12,"Produto 1",2,23,39,"Cliente 10","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Local",78,32
2021-05-13,"Produto 1",4,15,37,"Cliente 6","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Retirada",148,88
2021-05-14,"Produto 2",4,7,29,"Cliente 1","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Retirada",116,88
2021-05-15,"Produto 9",3,8,30,"Cliente 5","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Local",90,66
2021-05-16,"Produto 6",1,25,30,"Cliente 5","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Delivery",30,5
2021-05-17,"Produto 2",1,25,37,"Cliente 5","Janga, Paulista - PE
, Brazil","Credito","Delivery",37,12
2021-05-18,"Produto 8",4,7,7,"Cliente 8","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Retirada",28,0
2021-05-19,"Produto 3",1,14,14,"Cliente 7","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Delivery",14,0
2021-05-20,"Produto 10",1,25,29,"Cliente 10","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",29,4
2021-05-21,"Produto 5",3,15,36,"Cliente 8","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",108,63
2021-05-22,"Produto 9",3,14,32,"Cliente 8","Janga, Paulista - PE
, Brazil","Debito","Local",96,54
2021-05-23,"Produto 1",4,28,1,"Cliente 5","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Delivery",4,-108
2021-05-24,"Produto 2",1,25,32,"Cliente 2","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",32,7
2021-05-25,"Produto 1",2,7,14,"Cliente 10","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Local",28,14
2021-05-26,"Produto 9",1,25,37,"Cliente 2","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Local",37,12
2021-05-27,"Produto 7",3,23,11,"Cliente 8","Janga, Paulista - PE
, Brazil","Debito","Delivery",33,-36
2021-05-28,"Produto 8",1,15,29,"Cliente 3","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Local",29,14
2021-05-29,"Produto 4",1,28,30,"Cliente 8","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Debito","Delivery",30,2
2021-05-30,"Produto 8",2,8,30,"Cliente 1","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Credito","Retirada",60,44
2021-05-31,"Produto 1",1,28,32,"Cliente 2","Janga, Paulista - PE
, Brazil","Credito","Delivery",32,4
2021-06-01,"Produto 3",1,5,39,"Cliente 2","Janga, Paulista - PE
, Brazil","Debito","Local",39,34
2021-06-02,"Produto 7",1,9,30,"Cliente 1","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",30,21
2021-06-03,"Produto 7",1,7,37,"Cliente 2","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Credito","Local",37,30
2021-06-04,"Produto 6",5,15,39,"Cliente 7","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",195,120
2021-06-05,"Produto 1",1,25,14,"Cliente 1","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Local",14,-11
2021-06-06,"Produto 9",4,25,29,"Cliente 1","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Debito","Retirada",116,16
2021-06-07,"Produto 1",2,28,37,"Cliente 10","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Retirada",74,18
2021-06-08,"Produto 10",5,14,39,"Cliente 6","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Credito","Retirada",195,125
2021-06-09,"Produto 10",2,14,32,"Cliente 6","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",64,36
2021-06-10,"Produto 1",1,7,39,"Cliente 3","Janga, Paulista - PE
, Brazil","Debito","Delivery",39,32
2021-06-11,"Produto 4",4,14,11,"Cliente 3","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Local",44,-12
2021-06-12,"Produto 9",3,28,14,"Cliente 9","Nossa Senhora do Ó, Paulista - PE
, Brazil","Dinheiro","Retirada",42,-42
2021-06-13,"Produto 7",1,7,32,"Cliente 1","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",32,25
2021-06-14,"Produto 1",5,8,29,"Cliente 9","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Dinheiro","Retirada",145,105
2021-06-15,"Produto 8",5,5,29,"Cliente 9","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Retirada",145,120
2021-06-16,"Produto 1",5,14,14,"Cliente 2","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",70,0
2021-06-17,"Produto 1",4,25,36,"Cliente 10","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",144,44
2021-06-18,"Produto 9",3,15,36,"Cliente 3","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Delivery",108,63
2021-06-19,"Produto 9",3,22,30,"Cliente 5","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Local",90,24
2021-06-20,"Produto 1",1,9,36,"Cliente 9","Nossa Senhora do Ó, Paulista - PE
, Brazil","Debito","Retirada",36,27
2021-06-21,"Produto 1",2,5,37,"Cliente 4","Janga, Paulista - PE
, Brazil","Debito","Delivery",74,64
2021-06-22,"Produto 8",3,15,1,"Cliente 3","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",3,-42
2021-06-23,"Produto 10",3,14,39,"Cliente 7","Pau Amarelo, Paulista - PE
, Brazil","Credito","Retirada",117,75
2021-06-24,"Produto 6",1,14,11,"Cliente 5","Pau Amarelo, Paulista - PE
, Brazil","Debito","Delivery",11,-3
2021-06-25,"Produto 6",3,23,30,"Cliente 6","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Local",90,21
2021-06-26,"Produto 8",3,8,36,"Cliente 9","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Dinheiro","Retirada",108,84
2021-06-27,"Produto 8",3,25,30,"Cliente 8","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Delivery",90,15
2021-06-28,"Produto 10",4,23,7,"Cliente 7","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Debito","Local",28,-64
2021-06-29,"Produto 10",2,7,11,"Cliente 4","Rua Amazonita - Nossa Senhora da Conceição, Paulista - PE
, Brazil","Credito","Retirada",22,8
2021-06-30,"Produto 1",2,22,36,"Cliente 9","Janga, Paulista - PE
, Brazil","Dinheiro","Local",72,28
2021-07-01,"Produto 4",3,23,7,"Cliente 6","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Credito","Delivery",21,-48
2021-07-02,"Produto 7",2,8,37,"Cliente 1","Rua Aureliano Artur Soares Quintas, 51 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",74,58
2021-07-03,"Produto 9",4,9,14,"Cliente 5","Nossa Senhora da Conceição, Paulista - PE
, Brazil","Debito","Retirada",56,20
2021-07-04,"Produto 7",3,7,7,"Cliente 1","Rua Solmar, 1591 - Janga, Paulista - PE
, Brazil","Dinheiro","Retirada",21,0
2021-07-05,"Produto 10",4,23,7,"Cliente 8","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Delivery",28,-64
2021-07-06,"Produto 9",3,5,39,"Cliente 4","Avenida Antônio Cabral de Souza, 1175 - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Delivery",117,102
2021-07-07,"Produto 2",1,23,32,"Cliente 9","Rua Major Jener Tenório de Holanda - Vila Torres Galvao, Paulista - PE
, Brazil","Credito","Delivery",32,9
2021-07-08,"Produto 6",2,8,14,"Cliente 1","Rua Alagoinha, 870 - Janga, Paulista - PE
, Brazil","Dinheiro","Local",28,12
